attack,mitigation_list,mitigations_generated,model,created_at,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration
Session Credential Falsification through Manipulation,[],"{
  ""mitigations"": [
    {
      ""name"": ""Implement Strong Session Management Controls"",
      ""priority"": 1
    },
    {
      ""name"": ""Use Cryptographically Secure Session Identifiers"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement Session Timeout Mechanisms"",
      ""priority"": 3
    },
    {
      ""name"": ""Validate Session Identifiers"",
      ""priority"": 4
    },
    {
      ""name"": ""Use Secure Communication Channels"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement Session Regeneration"",
      ""priority"": 6
    },
    {
      ""name"": ""Monitor for Suspicious Session Activity"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement Multi-Factor Authentication"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896718.63758,3758280515,,,,,
Session Credential Falsification through Prediction,"['Use a strong source of randomness to generate a session ID. ', 'Use adequate length session IDs ', 'Do not use information available to the user in order to generate session ID (e.g., time). ', 'Ideas for creating random numbers are offered by Eastlake [RFC1750] ', 'Encrypt the session ID if you expose it to the user. For instance session ID can be stored in a cookie in encrypted format. ']","{
  ""mitigations"": [
    {
      ""name"": ""Use a strong source of randomness to generate a session ID"",
      ""priority"": 1
    },
    {
      ""name"": ""Encrypt the session ID if exposed to users"",
      ""priority"": 2
    },
    {
      ""name"": ""Use adequate length session IDs (minimum 128 bits)"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement session timeout and automatic invalidation"",
      ""priority"": 4
    },
    {
      ""name"": ""Avoid using predictable information in session ID generation"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement secure session handling mechanisms"",
      ""priority"": 6
    },
    {
      ""name"": ""Use cryptographically secure random number generators"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement session regeneration after authentication"",
      ""priority"": 8
    },
    {
      ""name"": ""Regular rotation of session identifiers"",
      ""priority"": 9
    },
    {
      ""name"": ""Implement proper session validation checks"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732896768.4243162,5271106004,,,,,
Session Sidejacking,"['Make sure that HTTPS is used to communicate with the target system. Alternatively, use VPN if possible. It is important to ensure that all communication between the client and the server happens via an encrypted secure channel. ', 'Modify the session token with each transmission and protect it with cryptography. Add the idea of request sequencing that gives the server an ability to detect replay attacks. ']","{
  ""mitigations"": [
    {
      ""name"": ""Implement HTTPS for all communications"",
      ""priority"": 1
    },
    {
      ""name"": ""Use VPN for secure network connectivity"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement session token rotation"",
      ""priority"": 3
    },
    {
      ""name"": ""Apply cryptographic protection to session tokens"",
      ""priority"": 4
    },
    {
      ""name"": ""Implement request sequencing mechanism"",
      ""priority"": 5
    },
    {
      ""name"": ""Set secure session cookie attributes (Secure, HttpOnly)"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement session timeout mechanisms"",
      ""priority"": 7
    },
    {
      ""name"": ""Monitor for suspicious session activity"",
      ""priority"": 8
    },
    {
      ""name"": ""Implement IP-based session validation"",
      ""priority"": 9
    }
  ]
}",claude-3-5-sonnet-20241022,1732896817.5339491,5325222492,,,,,
Cross Site Tracing,"[""Administrators should disable support for HTTP TRACE at the destination's web server. Vendors should disable TRACE by default. "", 'Patch web browser against known security origin policy bypass exploits. ']","{
  ""mitigations"": [
    {
      ""name"": ""Disable HTTP TRACE support on web server"",
      ""priority"": 1
    },
    {
      ""name"": ""Configure vendors to disable TRACE by default"",
      ""priority"": 2
    },
    {
      ""name"": ""Apply security patches to web browsers"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement security origin policy"",
      ""priority"": 4
    },
    {
      ""name"": ""Monitor and audit HTTP methods in use"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement WAF rules to block TRACE requests"",
      ""priority"": 6
    }
  ]
}",claude-3-5-sonnet-20241022,1732896823.5569415,2971656560,,,,,
Reusing Session IDs (aka Session Replay),"['Always invalidate a session ID after the user logout. ', 'Setup a session time out for the session IDs. ', 'Protect the communication between the client and server. For instance it is best practice to use SSL to mitigate adversary in the middle attacks (<a href=""/data/definitions/94.html"">CAPEC-94</a>). ', 'Do not code send session ID with GET method, otherwise the session ID will be copied to the URL. In general avoid writing session IDs in the URLs. URLs can get logged in log files, which are vulnerable to an attacker. ', 'Encrypt the session data associated with the session ID. ', 'Use multifactor authentication. ']","{
  ""mitigations"": [
    {
      ""name"": ""Protect communication with SSL/TLS encryption"",
      ""priority"": 1
    },
    {
      ""name"": ""Use multifactor authentication"",
      ""priority"": 2
    },
    {
      ""name"": ""Always invalidate session ID after user logout"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement session timeout mechanism"",
      ""priority"": 4
    },
    {
      ""name"": ""Encrypt session data associated with session ID"",
      ""priority"": 5
    },
    {
      ""name"": ""Avoid transmitting session IDs in URLs or GET parameters"",
      ""priority"": 6
    },
    {
      ""name"": ""Use secure session ID generation methods"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement session rotation on authentication"",
      ""priority"": 8
    },
    {
      ""name"": ""Monitor and log suspicious session activity"",
      ""priority"": 9
    },
    {
      ""name"": ""Validate session IDs on server side"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732896827.1851695,4897415161,,,,,
Session Fixation,"['Use a strict session management mechanism that only accepts locally generated session identifiers: This prevents attackers from fixating session identifiers of their own choice. ', 'Regenerate and destroy session identifiers when there is a change in the level of privilege: This ensures that even though a potential victim may have followed a link with a fixated identifier, a new one is issued when the level of privilege changes. ', 'Use session identifiers that are difficult to guess or brute-force: One way for the attackers to obtain valid session identifiers is by brute-forcing or guessing them. By choosing session identifiers that are sufficiently random, brute-forcing or guessing becomes very difficult. ']","{
  ""mitigations"": [
    {
      ""name"": ""Use a strict session management mechanism that only accepts locally generated session identifiers"",
      ""priority"": 1
    },
    {
      ""name"": ""Regenerate and destroy session identifiers when there is a change in the level of privilege"",
      ""priority"": 2
    },
    {
      ""name"": ""Use session identifiers that are difficult to guess or brute-force"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement secure session handling with HTTP-only cookies"",
      ""priority"": 4
    },
    {
      ""name"": ""Enforce SSL/TLS for all session management operations"",
      ""priority"": 5
    },
    {
      ""name"": ""Set appropriate session timeout values"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement session termination on user logout"",
      ""priority"": 7
    },
    {
      ""name"": ""Validate session state during critical operations"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896832.8218725,5072601795,,,,,
Cross Site Identification,"['Usage: Users should always explicitly log out from the social networking sites when done using them. ', 'Usage: Users should not open other tabs in the browser when using a social networking site. ']","{
  ""mitigations"": [
    {
      ""name"": ""Implement explicit session logout functionality"",
      ""priority"": 1
    },
    {
      ""name"": ""Use secure session management practices"",
      ""priority"": 2
    },
    {
      ""name"": ""Enforce single-tab browsing for sensitive sessions"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement automatic session timeout"",
      ""priority"": 4
    },
    {
      ""name"": ""Use secure cookie attributes (HttpOnly, Secure, SameSite)"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement anti-CSRF tokens"",
      ""priority"": 6
    },
    {
      ""name"": ""Educate users about safe browsing practices"",
      ""priority"": 7
    },
    {
      ""name"": ""Monitor for suspicious login patterns"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896838.5270743,4078523397,,,,,
"Removal of filters: Input filters, output filters, data masking",[],"{
  ""mitigations"": [
    {
      ""name"": ""Validate all input data"",
      ""priority"": 1
    },
    {
      ""name"": ""Implement robust access controls"",
      ""priority"": 2
    },
    {
      ""name"": ""Employ strict configuration management"",
      ""priority"": 3
    },
    {
      ""name"": ""Monitor system changes"",
      ""priority"": 4
    },
    {
      ""name"": ""Implement change control procedures"",
      ""priority"": 5
    },
    {
      ""name"": ""Use secure defaults for configuration"",
      ""priority"": 6
    },
    {
      ""name"": ""Maintain security logs and audit trails"",
      ""priority"": 7
    },
    {
      ""name"": ""Regular security assessments of configurations"",
      ""priority"": 8
    },
    {
      ""name"": ""Backup critical configuration files"",
      ""priority"": 9
    }
  ]
}",claude-3-5-sonnet-20241022,1732896843.2461295,4165953159,,,,,
Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,[],"{
  ""mitigations"": [
    {
      ""name"": ""Implement input validation and sanitization for transaction-related data"",
      ""priority"": 1
    },
    {
      ""name"": ""Implement secure transaction logging and monitoring"",
      ""priority"": 2
    },
    {
      ""name"": ""Use checksums or digital signatures to verify transaction integrity"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement strong access controls for transaction processing systems"",
      ""priority"": 4
    },
    {
      ""name"": ""Employ transaction atomicity through database transactions"",
      ""priority"": 5
    },
    {
      ""name"": ""Regular security audits of transaction processing code"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement backup and recovery mechanisms for transaction data"",
      ""priority"": 7
    }
  ]
}",claude-3-5-sonnet-20241022,1732896848.0850265,3734189987,,,,,
Subverting Environment Variable Values,"['Protect environment variables against unauthorized read and write access. ', 'Protect the configuration files which contain environment variables against illegitimate read and write access. ', 'Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. ', 'Apply the least privilege principles. If a process has no legitimate reason to read an environment variable do not give that privilege. ']","{
  ""mitigations"": [
    {
      ""name"": ""Protect environment variables against unauthorized access"",
      ""priority"": 1
    },
    {
      ""name"": ""Apply least privilege principles for environment variable access"",
      ""priority"": 2
    },
    {
      ""name"": ""Secure configuration files containing environment variables"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement input validation with allowlist approach"",
      ""priority"": 4
    },
    {
      ""name"": ""Monitor and log environment variable access"",
      ""priority"": 5
    },
    {
      ""name"": ""Encrypt sensitive environment variables"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement separation of duties for environment variable management"",
      ""priority"": 7
    },
    {
      ""name"": ""Regular security audits of environment variable usage"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896852.4844463,6705281734,,,,,
