attack,mitigation_list,mitigations_generated,model,created_at,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration
Session Credential Falsification through Manipulation,[],"
{
  ""mitigations"": [
    {
      ""name"": ""Secure Randomization of Session IDs"",
      ""priority"": 1
    },
    {
      ""name"": ""Use of HMAC for Session Token Authentication"",
      ""priority"": 2
    },
    {
      ""name"": ""Rate Limiting on Session Creation"",
      ""priority"": 3
    },
    {
      ""name"": ""Implementation of Session Data Encryption"",
      ""priority"": 4
    },
    {
      ""name"": ""Validation and Sanitization of Input Data Before Session Creation"",
      ""priority"": 5
    },
    {
      ""name"": ""Monitoring for Unauthorized Access Attempts on Session Data"",
      ""priority"": 6
    },
    {
      ""name"": ""Use of Multifactor Authentication for Session Establishment"",
      ""priority"": 7
    },
    {
      ""name"": ""Single Sign-Off After Session Expiration"",
      ""priority"": 8
    },
    {
      ""name"": ""Session Token Rotation Mechanism"",
      ""priority"": 9
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:16:06.3946047Z,153834650300,7578033600,179,18932000000,653,127174000000
Session Credential Falsification through Prediction,"['Use a strong source of randomness to generate a session ID. ', 'Use adequate length session IDs ', 'Do not use information available to the user in order to generate session ID (e.g., time). ', 'Ideas for creating random numbers are offered by Eastlake [RFC1750] ', 'Encrypt the session ID if you expose it to the user. For instance session ID can be stored in a cookie in encrypted format. ']","
{
  ""mitigations"": [
    {
      ""name"": ""Use a strong source of randomness to generate a session ID."",
      ""priority"": 1
    },
    {
      ""name"": ""Use adequate length session IDs."",
      ""priority"": 2
    },
    {
      ""name"": ""Do not use information available to the user in order to generate session ID (e.g., time)."",
      ""priority"": 3
    },
    {
      ""name"": ""Ideas for creating random numbers are offered by Eastlake [RFC1750]."",
      ""priority"": 4
    },
    {
      ""name"": ""Encrypt the session ID if you expose it to the user. For instance, session ID can be stored in a cookie in encrypted format."",
      ""priority"": 5
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:21:41.1674433Z,132720765900,35267500,267,25362000000,573,107322000000
Session Sidejacking,"['Make sure that HTTPS is used to communicate with the target system. Alternatively, use VPN if possible. It is important to ensure that all communication between the client and the server happens via an encrypted secure channel. ', 'Modify the session token with each transmission and protect it with cryptography. Add the idea of request sequencing that gives the server an ability to detect replay attacks. ']","
{
  ""mitigations"": [
    {
      ""name"": ""Enforce HTTPS communication with the target system"",
      ""priority"": 1
    },
    {
      ""name"": ""Use VPNs to encrypt and secure remote access connections"",
      ""priority"": 2
    },
    {
      ""name"": ""Secure session tokens using cryptographic methods"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement request sequencing for detecting replay attacks"",
      ""priority"": 4
    },
    {
      ""name"": ""Randomize and protect session IDs or tokens"",
      ""priority"": 5
    },
    {
      ""name"": ""Limit the duration of active sessions to reduce exposure"",
      ""priority"": 6
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:24:28.810959Z,165604708400,20378200,250,29805000000,696,135776000000
Cross Site Tracing,"[""Administrators should disable support for HTTP TRACE at the destination's web server. Vendors should disable TRACE by default. "", 'Patch web browser against known security origin policy bypass exploits. ']","
{
  ""mitigations"": [
    {
      ""name"": ""Disable HTTP TRACE Support"",
      ""priority"": 1
    },
    {
      ""name"": ""Patch Web Browser Against Bypass Exploits"",
      ""priority"": 2
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:27:00.2944841Z,149446663400,31734800,213,24606000000,637,124797000000
Reusing Session IDs (aka Session Replay),"['Always invalidate a session ID after the user logout. ', 'Setup a session time out for the session IDs. ', 'Protect the communication between the client and server. For instance it is best practice to use SSL to mitigate adversary in the middle attacks (<a href=""/data/definitions/94.html"">CAPEC-94</a>). ', 'Do not code send session ID with GET method, otherwise the session ID will be copied to the URL. In general avoid writing session IDs in the URLs. URLs can get logged in log files, which are vulnerable to an attacker. ', 'Encrypt the session data associated with the session ID. ', 'Use multifactor authentication. ']","
{
  ""mitigations"": [
    {
      ""name"": ""Always invalidate a session ID after user logout."",
      ""priority"": 1
    },
    {
      ""name"": ""Randomize session ID generation upon login."",
      ""priority"": 2
    },
    {
      ""name"": ""Set an explicit session timeout period."",
      ""priority"": 3
    },
    {
      ""name"": ""Do not send session IDs using the GET method or place them in URLs."",
      ""priority"": 4
    },
    {
      ""name"": ""Use SSL to encrypt communication between client and server (CAPEC-94)."",
      ""priority"": 5
    },
    {
      ""name"": ""Encrypt session data associated with the session ID."",
      ""priority"": 6
    },
    {
      ""name"": ""Implement multifactor authentication for user access."",
      ""priority"": 7
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:31:26.0333015Z,263691182500,20555300,315,37594000000,1131,226073000000
Session Fixation,"['Use a strict session management mechanism that only accepts locally generated session identifiers: This prevents attackers from fixating session identifiers of their own choice. ', 'Regenerate and destroy session identifiers when there is a change in the level of privilege: This ensures that even though a potential victim may have followed a link with a fixated identifier, a new one is issued when the level of privilege changes. ', 'Use session identifiers that are difficult to guess or brute-force: One way for the attackers to obtain valid session identifiers is by brute-forcing or guessing them. By choosing session identifiers that are sufficiently random, brute-forcing or guessing becomes very difficult. ']","
{
  ""mitigations"": [
    {
      ""name"": ""Use session identifiers that are difficult to guess or brute-force"",
      ""priority"": 1
    },
    {
      ""name"": ""Regenerate and destroy session identifiers when there is a change in the level of privilege"",
      ""priority"": 2
    },
    {
      ""name"": ""Use a strict session management mechanism that only accepts locally generated session identifiers"",
      ""priority"": 3
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:34:44.2547908Z,196179589200,18680600,304,35024000000,826,161135000000
Cross Site Identification,"['Usage: Users should always explicitly log out from the social networking sites when done using them. ', 'Usage: Users should not open other tabs in the browser when using a social networking site. ']","
{
  ""mitigations"": [
    {
      ""name"": ""Explicit Logout"",
      ""priority"": 1
    },
    {
      ""name"": ""Close Browser Tabs"",
      ""priority"": 2
    },
    {
      ""name"": ""Use Private Browsing Mode"",
      ""priority"": 3
    },
    {
      ""name"": ""Enable Cookie Clearing"",
      ""priority"": 4
    },
    {
      ""name"": ""Browser Tracking Alerts"",
      ""priority"": 5
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:37:08.2217313Z,141926938400,25440100,214,24295000000,612,117605000000
"Removal of filters: Input filters, output filters, data masking",[],"
{
  ""mitigations"": [
    {
      ""name"": ""Input Validation"",
      ""priority"": 1
    },
    {
      ""name"": ""Access Control Enforcement"",
      ""priority"": 2
    },
    {
      ""name"": ""Output Filtering"",
      ""priority"": 3
    },
    {
      ""name"": ""Data Masking"",
      ""priority"": 4
    },
    {
      ""name"": ""Encryption of Data at Rest"",
      ""priority"": 5
    },
    {
      ""name"": ""Regular Software Updates"",
      ""priority"": 6
    },
    {
      ""name"": "" Penetration Testing and Vulnerability Assessment"",
      ""priority"": 7
    },
    {
      ""name"": ""Monitoring of System Activity"",
      ""priority"": 8
    },
    {
      ""name"": ""User Education and Security Awareness"",
      ""priority"": 9
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:40:37.0918024Z,206828219900,23324200,184,20331000000,960,186470000000
Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,[],"
{
  ""mitigations"": [
    {
      ""name"": ""Implement Access Controls"",
      ""priority"": 1
    },
    {
      ""name"": ""Encrypt Sensitive Data"",
      ""priority"": 2
    },
    {
      ""name"": ""Regularly Audit Cash Transactions"",
      ""priority"": 3
    },
    {
      ""name"": ""Monitor for Unusual Transaction Patterns"",
      ""priority"": 4
    },
    {
      ""name"": ""Rebuild User Trust"",
      ""priority"": 5
    },
    {
      ""name"": ""Limit Cash Withdrawal Amounts"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement Rate Limits on Transactions"",
      ""priority"": 7
    },
    {
      ""name"": ""Use Data Validation Techniques"",
      ""priority"": 8
    },
    {
      ""name"": ""Train Employees on Cybersecurity Awareness"",
      ""priority"": 9
    },
    {
      ""name"": ""Update Software Regularly"",
      ""priority"": 10
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:43:13.7793508Z,154652545100,20369500,192,22553000000,668,132076000000
Subverting Environment Variable Values,"['Protect environment variables against unauthorized read and write access. ', 'Protect the configuration files which contain environment variables against illegitimate read and write access. ', 'Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. ', 'Apply the least privilege principles. If a process has no legitimate reason to read an environment variable do not give that privilege. ']","
{
  ""mitigations"": [
    {
      ""name"": ""Protect environment variables against unauthorized read and write access."",
      ""priority"": 1
    },
    {
      ""name"": ""Protect the configuration files which contain environment variables against illegitimate read and write access."",
      ""priority"": 2
    },
    {
      ""name"": ""Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system."",
      ""priority"": 3
    },
    {
      ""name"": ""Apply the least privilege principles. If a process has no legitimate reason to read an environment variable do not give that privilege."",
      ""priority"": 4
    },
    {
      ""name"": ""Encrypt sensitive environment variables using strong cryptographic methods."",
      ""priority"": 5
    },
    {
      ""name"": ""Validate and sanitize all input data before use, ensuring that it meets predefined security criteria and does not contain malicious content."",
      ""priority"": 6
    },
    {
      ""name"": ""Use secure default values for environment variables to minimize potential vulnerabilities."",
      ""priority"": 7
    },
    {
      ""name"": ""Regularly audit and update environment variable configurations to ensure they align with current security best practices and organizational policies."",
      ""priority"": 8
    }
  ]
}
",deepseek-r1:8b,2025-02-24T15:45:57.7023064Z,161880362200,58601300,279,37179000000,608,124639000000
