attack,mitigation_list,mitigations_generated,model,created_at,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration
Session Credential Falsification through Manipulation,[],"{
  ""mitigations"": [
    {
      ""name"": ""Multi-factor Authentication"",
      ""priority"": 1
    },
    {
      ""name"": ""Account Lockout Policies"",
      ""priority"": 2
    },
    {
      ""name"": ""Session Timeouts"",
      ""priority"": 3
    },
    {
      ""name"": ""Input Validation"",
      ""priority"": 4
    },
    {
      ""name"": ""Output Encoding"",
      ""priority"": 5
    },
    {
      ""name"": ""Defense in Depth"",
      ""priority"": 6
    },
    {
      ""name"": ""Regular Security Audits"",
      ""priority"": 7
    }
  ]
}",granite3-dense:8b,2024-11-27T13:00:43.6835535Z,87901240100,8563884100,219,40650000000,149,38676000000
Session Credential Falsification through Prediction,"['Use a strong source of randomness to generate a session ID. ', 'Use adequate length session IDs ', 'Do not use information available to the user in order to generate session ID (e.g., time). ', 'Ideas for creating random numbers are offered by Eastlake [RFC1750] ', 'Encrypt the session ID if you expose it to the user. For instance session ID can be stored in a cookie in encrypted format. ']","{
  ""mitigations"": [
    {
      ""name"": ""Use a strong source of randomness to generate a session ID."",
      ""priority"": 1
    },
    {
      ""name"": ""Use adequate length session IDs."",
      ""priority"": 2
    },
    {
      ""name"": ""Do not use information available to the user in order to generate session ID (e.g., time)."",
      ""priority"": 3
    },
    {
      ""name"": ""Ideas for creating random numbers are offered by Eastlake [RFC1750]."",
      ""priority"": 4
    },
    {
      ""name"": ""Encrypt the session ID if you expose it to the user. For instance session ID can be stored in a cookie in encrypted format."",
      ""priority"": 5
    }
  ]
}",granite3-dense:8b,2024-11-27T13:02:16.6216388Z,90653199000,26284500,313,48261000000,177,42364000000
Session Sidejacking,"['Make sure that HTTPS is used to communicate with the target system. Alternatively, use VPN if possible. It is important to ensure that all communication between the client and the server happens via an encrypted secure channel. ', 'Modify the session token with each transmission and protect it with cryptography. Add the idea of request sequencing that gives the server an ability to detect replay attacks. ']","{
  ""mitigations"": [
    {
      ""name"": ""Use HTTPS and VPNs"",
      ""priority"": 1
    },
    {
      ""name"": ""Modify session token and protect it with cryptography"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement request sequencing"",
      ""priority"": 3
    }
  ]
}",granite3-dense:8b,2024-11-27T13:03:19.97557Z,61256079800,12609900,291,41205000000,80,20037000000
Cross Site Tracing,"[""Administrators should disable support for HTTP TRACE at the destination's web server. Vendors should disable TRACE by default. "", 'Patch web browser against known security origin policy bypass exploits. ']","{
  ""mitigations"": [
    {
      ""name"": ""Disable HTTP TRACE at the destination's web server"",
      ""priority"": 1
    },
    {
      ""name"": ""Patch web browser against known security origin policy bypass exploits"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement a Web Application Firewall (WAF) to detect and block Cross-Site Tracing attacks"",
      ""priority"": 3
    },
    {
      ""name"": ""Regularly update and patch all systems and software"",
      ""priority"": 4
    },
    {
      ""name"": ""Implement strict input validation and output encoding"",
      ""priority"": 5
    },
    {
      ""name"": ""Use secure communication protocols such as HTTPS and HTTP/2"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement a Content Security Policy (CSP) to prevent Cross-Site Tracing attacks"",
      ""priority"": 7
    }
  ]
}",granite3-dense:8b,2024-11-27T13:04:46.5539813Z,84527458200,23803700,253,32792000000,209,51709000000
Reusing Session IDs (aka Session Replay),"['Always invalidate a session ID after the user logout. ', 'Setup a session time out for the session IDs. ', 'Protect the communication between the client and server. For instance it is best practice to use SSL to mitigate adversary in the middle attacks (<a href=""/data/definitions/94.html"">CAPEC-94</a>). ', 'Do not code send session ID with GET method, otherwise the session ID will be copied to the URL. In general avoid writing session IDs in the URLs. URLs can get logged in log files, which are vulnerable to an attacker. ', 'Encrypt the session data associated with the session ID. ', 'Use multifactor authentication. ']","{
  ""mitigations"": [
    {
      ""name"": ""Always invalidate a session ID after the user logout."",
      ""priority"": 1
    },
    {
      ""name"": ""Setup a session time out for the session IDs."",
      ""priority"": 2
    },
    {
      ""name"": ""Protect the communication between the client and server. For instance it is best practice to use SSL to mitigate adversary in the middle attacks (CAPEC-94)."",
      ""priority"": 3
    },
    {
      ""name"": ""Do not code send session ID with GET method, otherwise the session ID will be copied to the URL. In general avoid writing session IDs in the URLs. URLs can get logged in log files, which are vulnerable to an attacker."",
      ""priority"": 4
    },
    {
      ""name"": ""Encrypt the session data associated with the session ID."",
      ""priority"": 5
    },
    {
      ""name"": ""Use multifactor authentication."",
      ""priority"": 6
    }
  ]
}",granite3-dense:8b,2024-11-27T13:06:48.3393081Z,119719887700,19559900,363,61182000000,222,58517000000
Session Fixation,"['Use a strict session management mechanism that only accepts locally generated session identifiers: This prevents attackers from fixating session identifiers of their own choice. ', 'Regenerate and destroy session identifiers when there is a change in the level of privilege: This ensures that even though a potential victim may have followed a link with a fixated identifier, a new one is issued when the level of privilege changes. ', 'Use session identifiers that are difficult to guess or brute-force: One way for the attackers to obtain valid session identifiers is by brute-forcing or guessing them. By choosing session identifiers that are sufficiently random, brute-forcing or guessing becomes very difficult. ']","{
  ""mitigations"": [
    {
      ""name"": ""Use a strict session management mechanism"",
      ""priority"": 1
    },
    {
      ""name"": ""Regenerate and destroy session identifiers when there is a change in the level of privilege"",
      ""priority"": 2
    },
    {
      ""name"": ""Use session identifiers that are difficult to guess or brute-force"",
      ""priority"": 3
    }
  ]
}",granite3-dense:8b,2024-11-27T13:08:11.7464992Z,81362829900,14508000,355,56693000000,96,24653000000
Cross Site Identification,"['Usage: Users should always explicitly log out from the social networking sites when done using them. ', 'Usage: Users should not open other tabs in the browser when using a social networking site. ']","{
  ""mitigations"": [
    {
      ""name"": ""Explicit Logout"",
      ""priority"": 1
    },
    {
      ""name"": ""Single Tab Usage"",
      ""priority"": 2
    }
  ]
}",granite3-dense:8b,2024-11-27T13:09:01.9160149Z,48087091100,23469300,254,35499000000,50,12563000000
"Removal of filters: Input filters, output filters, data masking",[],"{
  ""mitigations"": [
    {
      ""name"": ""Input Validation"",
      ""priority"": 1
    },
    {
      ""name"": ""Output Encoding"",
      ""priority"": 2
    },
    {
      ""name"": ""Data Masking"",
      ""priority"": 3
    },
    {
      ""name"": ""Content Security Policy (CSP)"",
      ""priority"": 4
    },
    {
      ""name"": ""Web Application Firewall (WAF)"",
      ""priority"": 5
    },
    {
      ""name"": ""Regular Updates and Patches"",
      ""priority"": 6
    },
    {
      ""name"": ""User Awareness Training"",
      ""priority"": 7
    }
  ]
}",granite3-dense:8b,2024-11-27T13:10:35.2139908Z,91236503600,19081500,223,31784000000,155,59430000000
Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,[],"{
  ""mitigations"": [
    {
      ""name"": ""Input Validation"",
      ""priority"": 1
    },
    {
      ""name"": ""Output Encoding"",
      ""priority"": 2
    },
    {
      ""name"": ""Least Privilege"",
      ""priority"": 3
    },
    {
      ""name"": ""Defense in Depth"",
      ""priority"": 4
    },
    {
      ""name"": ""Regular Audits"",
      ""priority"": 5
    }
  ]
}",granite3-dense:8b,2024-11-27T13:12:07.9635938Z,90687471900,21316300,231,52352000000,107,38311000000
Subverting Environment Variable Values,"['Protect environment variables against unauthorized read and write access. ', 'Protect the configuration files which contain environment variables against illegitimate read and write access. ', 'Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. ', 'Apply the least privilege principles. If a process has no legitimate reason to read an environment variable do not give that privilege. ']","{
  ""mitigations"": [
    {
      ""name"": ""Protect environment variables against unauthorized read and write access."",
      ""priority"": 1
    },
    {
      ""name"": ""Protect the configuration files which contain environment variables against illegitimate read and write access."",
      ""priority"": 2
    },
    {
      ""name"": ""Apply input validation and allowlisting to prevent unauthorized input from entering the system."",
      ""priority"": 3
    },
    {
      ""name"": ""Apply the principle of least privilege to environment variables."",
      ""priority"": 4
    }
  ]
}",granite3-dense:8b,2024-11-27T13:14:08.5841737Z,118536512700,23314900,325,73155000000,128,45355000000
