attack,mitigation_list,mitigations_generated,model,created_at,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration
Session Credential Falsification through Manipulation,[],"```json
{
    ""mitigations"": [
        {
            ""name"": ""Implement Secure Cookies"",
            ""priority"": 1
        },
        {
            ""name"": ""Use HTTPS for Sensitive Data Transmission"",
            ""priority"": 2
        },
        {
            ""name"": ""Validate and Sanitize User Input"",
            ""priority"": 3
        },
        {
            ""name"": ""Implement Account Takeover (ATO) Detection"",
            ""priority"": 4
        },
        {
            ""name"": ""Monitor for Suspicious Activity"",
            ""priority"": 5
        },
        {
            ""name"": ""Regularly Update and Patch Software"",
            ""priority"": 6
        },
        {
            ""name"": ""Implement Role-Based Access Control (RBAC)"",
            ""priority"": 7
        },
        {
            ""name"": ""Limit Login Attempts"",
            ""priority"": 8
        },
        {
            ""name"": ""Use a Secure Session Management Framework"",
            ""priority"": 9
        },
        {
            ""name"": ""Implement Two-Factor Authentication (2FA)"",
            ""priority"": 10
        }
    ]
}
```",llama3.1,2024-11-22T15:57:14.0486247Z,172621978800,7330794600,186,52444000000,246,112839000000
Session Credential Falsification through Prediction,"['Use a strong source of randomness to generate a session ID. ', 'Use adequate length session IDs ', 'Do not use information available to the user in order to generate session ID (e.g., time). ', 'Ideas for creating random numbers are offered by Eastlake [RFC1750] ', 'Encrypt the session ID if you expose it to the user. For instance session ID can be stored in a cookie in encrypted format. ']","```json
{
  ""mitigations"": [
    {
      ""name"": ""Use a strong source of randomness to generate a session ID."",
      ""priority"": 1
    },
    {
      ""name"": ""Use adequate length session IDs"",
      ""priority"": 2
    },
    {
      ""name"": ""Do not use information available to the user in order to generate session ID (e.g., time)."",
      ""priority"": 3
    },
    {
      ""name"": ""Ideas for creating random numbers are offered by Eastlake [RFC1750]"",
      ""priority"": 4
    },
    {
      ""name"": ""Encrypt the session ID if you expose it to the user. For instance session ID can be stored in a cookie in encrypted format."",
      ""priority"": 5
    }
  ]
}
```",llama3.1,2024-11-22T15:59:58.2573453Z,160790381400,72068100,274,78563000000,177,82150000000
Session Sidejacking,"['Make sure that HTTPS is used to communicate with the target system. Alternatively, use VPN if possible. It is important to ensure that all communication between the client and the server happens via an encrypted secure channel. ', 'Modify the session token with each transmission and protect it with cryptography. Add the idea of request sequencing that gives the server an ability to detect replay attacks. ']","```json
{
  ""mitigations"": [
    {
      ""name"": ""Use HTTPS or VPN for communication"",
      ""priority"": 1
    },
    {
      ""name"": ""Modify session token with each transmission and protect it with cryptography"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement request sequencing to detect replay attacks"",
      ""priority"": 3
    }
  ]
}
```",llama3.1,2024-11-22T16:04:38.585511Z,112477855300,54848000,257,74624000000,91,37796000000
Cross Site Tracing,"[""Administrators should disable support for HTTP TRACE at the destination's web server. Vendors should disable TRACE by default. "", 'Patch web browser against known security origin policy bypass exploits. ']","```json
{
    ""mitigations"": [
        {
            ""name"": ""Disable support for HTTP TRACE at web server"",
            ""priority"": 1
        },
        {
            ""name"": ""Patch web browser against known security origin policy bypass exploits"",
            ""priority"": 2
        }
    ]
}
```",llama3.1,2024-11-22T16:06:06.007679Z,85371521400,61522700,220,56512000000,68,28793000000
Reusing Session IDs (aka Session Replay),"['Always invalidate a session ID after the user logout. ', 'Setup a session time out for the session IDs. ', 'Protect the communication between the client and server. For instance it is best practice to use SSL to mitigate adversary in the middle attacks (<a href=""/data/definitions/94.html"">CAPEC-94</a>). ', 'Do not code send session ID with GET method, otherwise the session ID will be copied to the URL. In general avoid writing session IDs in the URLs. URLs can get logged in log files, which are vulnerable to an attacker. ', 'Encrypt the session data associated with the session ID. ', 'Use multifactor authentication. ']","```json
{
    ""mitigations"": [
        {
            ""name"": ""Always invalidate a session ID after the user logout"",
            ""priority"": 1
        },
        {
            ""name"": ""Setup a session time out for the session IDs"",
            ""priority"": 2
        },
        {
            ""name"": ""Protect the communication between the client and server (CAPEC-94)"",
            ""priority"": 3
        },
        {
            ""name"": ""Do not code send session ID with GET method, otherwise the session ID will be copied to the URL"",
            ""priority"": 4
        },
        {
            ""name"": ""Encrypt the session data associated with the session ID"",
            ""priority"": 5
        },
        {
            ""name"": ""Use multifactor authentication"",
            ""priority"": 6
        }
    ]
}
```",llama3.1,2024-11-22T16:08:51.1040299Z,163044564300,52779800,322,85700000000,182,77288000000
Session Fixation,"['Use a strict session management mechanism that only accepts locally generated session identifiers: This prevents attackers from fixating session identifiers of their own choice. ', 'Regenerate and destroy session identifiers when there is a change in the level of privilege: This ensures that even though a potential victim may have followed a link with a fixated identifier, a new one is issued when the level of privilege changes. ', 'Use session identifiers that are difficult to guess or brute-force: One way for the attackers to obtain valid session identifiers is by brute-forcing or guessing them. By choosing session identifiers that are sufficiently random, brute-forcing or guessing becomes very difficult. ']","```json
{
    ""mitigations"": [
        {
            ""name"": ""Use a strict session management mechanism that only accepts locally generated session identifiers"",
            ""priority"": 1
        },
        {
            ""name"": ""Regenerate and destroy session identifiers when there is a change in the level of privilege"",
            ""priority"": 2
        },
        {
            ""name"": ""Use session identifiers that are difficult to guess or brute-force"",
            ""priority"": 3
        }
    ]
}
```",llama3.1,2024-11-22T16:11:49.2134433Z,176040919600,54796500,311,130370000000,107,45611000000
Cross Site Identification,"['Usage: Users should always explicitly log out from the social networking sites when done using them. ', 'Usage: Users should not open other tabs in the browser when using a social networking site. ']","```json
{
    ""mitigations"": [
        {
            ""name"": ""User Logout"",
            ""priority"": 1
        },
        {
            ""name"": ""Avoid Multiple Tabs"",
            ""priority"": 2
        },
        {
            ""name"": ""Keep Social Media Separate"",
            ""priority"": 3
        }
    ]
}
```",llama3.1,2024-11-22T16:13:53.4467574Z,122154546900,54300700,221,90007000000,76,32089000000
"Removal of filters: Input filters, output filters, data masking",[],"```json
{
  ""mitigations"": [
    {
      ""name"": ""Implement input validation"",
      ""priority"": 1
    },
    {
      ""name"": ""Use whitelisting for allowed inputs"",
      ""priority"": 2
    },
    {
      ""name"": ""Remove unnecessary filters"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement output encoding"",
      ""priority"": 4
    },
    {
      ""name"": ""Data masking using format-preserving encryption"",
      ""priority"": 5
    },
    {
      ""name"": ""Regularly review and update data masking rules"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement logging for suspicious activities"",
      ""priority"": 7
    },
    {
      ""name"": ""Use a Web Application Firewall (WAF)"",
      ""priority"": 8
    }
  ]
}
```",llama3.1,2024-11-22T16:15:32.1888341Z,96677149300,58451500,191,47174000000,196,49442000000
Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,[],"```json
{
    ""mitigations"": [
        {
            ""name"": ""Implement a secure financial transaction validation system"",
            ""priority"": 1
        },
        {
            ""name"": ""Regularly review and update access controls to prevent tampering"",
            ""priority"": 2
        },
        {
            ""name"": ""Limit access to sensitive data based on user roles and privileges"",
            ""priority"": 3
        },
        {
            ""name"": ""Monitor for and promptly address any discrepancies in financial transaction records"",
            ""priority"": 4
        },
        {
            ""name"": ""Implement a system for tracking changes made to financial data, including who made the change and when"",
            ""priority"": 5
        }
    ]
}
```",llama3.1,2024-11-22T16:16:40.9469012Z,66710894300,18523000,199,31958000000,159,34732000000
Subverting Environment Variable Values,"['Protect environment variables against unauthorized read and write access. ', 'Protect the configuration files which contain environment variables against illegitimate read and write access. ', 'Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. ', 'Apply the least privilege principles. If a process has no legitimate reason to read an environment variable do not give that privilege. ']","```json
{
  ""mitigations"": [
    {
      ""name"": ""Protect environment variables against unauthorized read and write access."",
      ""priority"": 1
    },
    {
      ""name"": ""Protect the configuration files which contain environment variables against illegitimate read and write access."",
      ""priority"": 2
    },
    {
      ""name"": ""Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system."",
      ""priority"": 3
    },
    {
      ""name"": ""Apply the least privilege principles. If a process has no legitimate reason to read an environment variable do not give that privilege."",
      ""priority"": 4
    }
  ]
}
```",llama3.1,2024-11-22T16:18:00.2412232Z,77249579300,39684600,286,35523000000,175,41683000000
